Linux 3.13.0-100-generic (ip-172-31-1-186) 	12/24/2016 	_x86_64_	(1 CPU)

04:00:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:01:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:33 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:01:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:49 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:01:50 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:01:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:52 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:01:53 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:01:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:55 PM     all      7.92      0.00      0.99      0.00      0.00     91.09
04:01:56 PM     all     12.12      0.00      0.00      0.00      0.00     87.88
04:01:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:01:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:16 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:02:17 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:02:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:22 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:02:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:33 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
04:02:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:36 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:02:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:38 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:02:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:43 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:50 PM     all      6.52      0.00      0.00      0.00      1.09     92.39
04:02:51 PM     all     13.25      0.00      2.41      0.00      0.00     84.34
04:02:52 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:02:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:57 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:02:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:02:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:13 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:03:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:16 PM     all      0.98      0.00      0.00      0.00      0.98     98.04
04:03:17 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
04:03:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:20 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:03:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:23 PM     all     24.18      0.00      4.40      0.00      0.00     71.43
04:03:24 PM     all      2.02      0.00      0.00      0.00      0.00     97.98
04:03:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:29 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:03:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:31 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:03:32 PM     all      6.00      0.00      0.00      0.00      0.00     94.00
04:03:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:34 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:41 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:43 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:03:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:53 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:03:54 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:03:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:57 PM     all      0.00      0.00      0.99      0.99      0.00     98.02
04:03:58 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:03:59 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:04:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:07 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:04:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:33 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:34 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:04:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:37 PM     all      0.99      0.00      0.99      0.00      0.00     98.02
04:04:38 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:04:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:40 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:41 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:04:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:43 PM     all      0.00      0.00      0.00      1.01      0.00     98.99
04:04:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:45 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:47 PM     all      0.00      0.00      0.00      0.99      0.00     99.01
04:04:48 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:50 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:51 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:53 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:55 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:56 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:04:58 PM     all      0.00      0.00      0.00      0.00      0.99     99.01
04:04:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:00 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:01 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:03 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:05 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:08 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:10 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:11 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:16 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:05:17 PM     all      0.99      0.00      0.00      0.99      0.00     98.02
04:05:18 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:19 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:05:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:21 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:22 PM     all      0.00      0.00      1.00      0.00      0.00     99.00
04:05:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:26 PM     all      5.05      0.00      1.01      0.00      0.00     93.94
04:05:27 PM     all     15.00      0.00      1.00      1.00      0.00     83.00
04:05:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:33 PM     all      0.00      0.00      0.00      1.00      0.00     99.00
04:05:34 PM     all      1.00      0.00      0.00      0.00      0.00     99.00
04:05:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:36 PM     all      0.00      0.00      0.99      0.00      0.00     99.01
04:05:37 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
04:05:38 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
